configuration_id,seed,psi,psi_H,mu,theta_UB,theta_DIV,theta,zeta,zeta_LTV,real_gdp_growth_12q,mean_quarterly_real_gdp_growth,maximum_gdp_decline,mean_implicit_gdp_inflation,final_real_household_consumption,final_real_capitalformation,final_real_exports,final_real_imports,final_wages
1,1,0.8633304615367469,0.06103481059648308,0.028194335939306328,0.3951860754093742,0.8023095412924967,0.047292785780407964,0.03357523435214604,0.693164423925812,-0.03199583059828859,-0.0027099070401387,0.035863614936936655,0.003840636074765921,38054.98860270234,14757.464920600321,35041.440735346856,33207.76992816046,28812.270128456967
2,1,0.7376751462517609,0.0699834371965594,0.029775723696146367,0.37806906993559786,0.7253686257036567,0.059339652040622415,0.029688947010537838,0.6132214243276861,-0.058752858513301476,-0.005045794733813984,0.09597474992870147,0.003933924042466751,32632.40808448493,16069.61452803115,33695.77763395525,29628.21466870207,28062.946279467462
3,1,0.7887420494836969,0.07935756618515863,0.02196255163164198,0.3345953697157686,0.9271167271437222,0.0453981915189882,0.027039409780810587,0.5544780431580232,-0.0281369840555461,-0.0023783678792980525,0.04905639983734162,0.0036276276948438058,35649.82928890971,15277.229166850879,35276.249249364155,32011.233575232334,29026.162603009398
