parameter,type,shape,baseline,classification,screening_eligible,source_usage,review_note
tau_EXPORT,Float64,scalar,0.0029486201783457183,independent_continuous_candidate,true,src/model_init/init_properties.jl:64,Define an economic validity range before screening
tau_FIRM,Float64,scalar,0.07701197259426128,independent_continuous_candidate,true,src/model_init/init_banks.jl:17; src/model_init/init_firms.jl:23; src/model_init/init_properties.jl:60,Define an economic validity range before screening
tau_G,Float64,scalar,0.009147800682711324,independent_continuous_candidate,true,src/model_init/init_properties.jl:66,Define an economic validity range before screening
tau_INC,Float64,scalar,0.21340742230566648,independent_continuous_candidate,true,src/model_init/init_banks.jl:16; src/model_init/init_firms.jl:22; src/model_init/init_properties.jl:59; src/model_init/init_workers.jl:21,Define an economic validity range before screening
tau_K_s,Matrix{Float64},62x1,"summary(min=-0.26105054841223635, max=0.04534595393638835, mean=0.0034425254364573135)",jointly_constrained_group_candidate,true,src/model_init/init_firms.jl:61,Define a structure-preserving perturbation; do not vary cells independently
tau_SIF,Float64,scalar,0.21215146534992413,independent_continuous_candidate,true,src/model_init/init_firms.jl:19; src/model_init/init_properties.jl:62,Define an economic validity range before screening
tau_SIW,Float64,scalar,0.17114894621657745,independent_continuous_candidate,true,src/model_init/init_properties.jl:63; src/model_init/init_workers.jl:20,Define an economic validity range before screening
tau_VAT,Float64,scalar,0.1528683933530887,independent_continuous_candidate,true,src/model_init/init_properties.jl:61,Define an economic validity range before screening
tau_Y_s,Matrix{Float64},62x1,"summary(min=0.0009036288207524677, max=0.06592084150472455, mean=0.01156409110458395)",jointly_constrained_group_candidate,true,src/model_init/init_firms.jl:60,Define a structure-preserving perturbation; do not vary cells independently
theta,Float64,scalar,0.05,independent_continuous_candidate,true,src/model_init/init_properties.jl:74,Define an economic validity range before screening
theta_DIV,Float64,scalar,0.7858074440019603,independent_continuous_candidate,true,src/model_init/init_banks.jl:15; src/model_init/init_firms.jl:21; src/model_init/init_properties.jl:73,Define an economic validity range before screening
theta_UB,Float64,scalar,0.3585824478060919,independent_continuous_candidate,true,src/model_init/init_properties.jl:67; src/model_init/init_workers.jl:19,Define an economic validity range before screening
w_s,Matrix{Float64},62x1,"summary(min=0.2697101055708983, max=53.76744755120394, mean=8.407566371524046)",jointly_constrained_group_candidate,true,src/model_init/init_firms.jl:59,Define a structure-preserving perturbation; do not vary cells independently
xi_gamma,Float64,scalar,1.328593153520194,independent_continuous_candidate,true,src/model_init/init_banks.jl:64,Define an economic validity range before screening
xi_pi,Float64,scalar,0.30996974466133875,independent_continuous_candidate,true,src/model_init/init_banks.jl:63,Define an economic validity range before screening
zeta,Float64,scalar,0.03,independent_continuous_candidate,true,src/model_init/init_properties.jl:75,Define an economic validity range before screening
zeta_LTV,Float64,scalar,0.6,independent_continuous_candidate,true,src/model_init/init_properties.jl:76,Define an economic validity range before screening
zeta_b,Float64,scalar,0.5,independent_continuous_candidate,true,src/model_init/init_properties.jl:77,Define an economic validity range before screening
