term,real_gdp_growth_12q,mean_quarterly_real_gdp_growth,maximum_gdp_decline,mean_implicit_gdp_inflation,final_real_household_consumption,final_real_capitalformation,final_real_exports,final_real_imports,final_wages
intercept,-0.04537434455579503,-0.003877850886976342,0.06591918243281907,0.0038872800586163356,35343.698343593634,15413.539724315735,34368.60918465105,31417.992298431265,28437.608203962212
psi,0.0023650094485466798,0.0002064652351756303,-0.00531312377165077,-8.245553679511112e-6,479.2928211609342,-115.97871398585754,118.9408308124244,316.3910204600671,66.23148244936998
psi_H,-0.0023650094928484053,-0.00020646526933143023,0.005313123956717962,8.245591635408999e-6,-479.2930368751594,115.9787331723601,-118.94097554448919,-316.3910273262777,-66.2315161434909
mu,-0.002365009446898859,-0.00020646526532003693,0.0053131238534897965,8.245554883383304e-6,-479.2928911388151,115.97873091902156,-118.94085954675815,-316.39102117915155,-66.23143527590167
theta_UB,0.0023650094855548207,0.00020646526869470114,-0.0053131239403325405,-8.245555018156808e-6,479.29289897283417,-115.97873281468844,118.94086149084204,316.3910263505467,66.23143635845285
theta_DIV,0.0023650094969493614,0.00020646526108522605,-0.005313123880390032,-8.245590440089988e-6,479.2930583439049,-115.9787390968635,118.94098103957869,316.3909814606402,66.23150654223812
theta,-0.00236500944045877,-0.00020646523446955585,0.005313123753480835,8.245553651312762e-6,-479.29281952183817,115.97871358923109,-118.9408304056675,-316.39101937806714,-66.23148222287033
zeta,0.002365009260917031,0.0002064652490838284,-0.005313124129560779,-8.245593537288567e-6,479.29289892245924,-115.97881274804752,118.94107756704341,316.39099629850165,66.23170291593885
zeta_LTV,0.0023650097872793398,0.0002064652430629366,-0.005313123838742914,-8.245561636761004e-6,479.2930262327171,-115.97870785974803,118.94108659031102,316.3907019778382,66.23141235470517
